sport,game_group,team,zone,coverage,situation,hand,height,shot_flight,off_pass,outcome
boys_lacrosse,1,mka,8,lightly_covered,settled,right,high,air,t,goal
boys_lacrosse,1,opponent,15,lightly_covered,settled,right,low,bouncer,t,on_target
boys_lacrosse,1,opponent,11,lightly_covered,transition,right,low,bouncer,t,goal
boys_lacrosse,1,mka,1,wide_open,settled,left,low,air,t,on_target
boys_lacrosse,1,opponent,1,lightly_covered,settled,left,high,air,f,off_target
boys_lacrosse,1,opponent,15,wide_open,settled,right,high,bouncer,t,off_target
boys_lacrosse,1,opponent,16,lightly_covered,settled,right,high,air,t,off_target
boys_lacrosse,1,opponent,9,lightly_covered,settled,left,high,air,t,off_target
boys_lacrosse,1,opponent,16,lightly_covered,settled,right,low,bouncer,t,off_target
boys_lacrosse,1,opponent,19,wide_open,settled,right,low,air,t,off_target
boys_lacrosse,1,opponent,19,wide_open,settled,right,low,bouncer,t,on_target
boys_lacrosse,1,opponent,7,lightly_covered,settled,right,high,air,t,on_target
boys_lacrosse,1,mka,11,wide_open,transition,left,high,bouncer,f,off_target
boys_lacrosse,1,opponent,3,wide_open,transition,right,high,air,t,goal
boys_lacrosse,1,opponent,19,wide_open,transition,right,high,air,f,off_target
boys_lacrosse,1,mka,3,wide_open,transition,right,low,bouncer,t,goal
boys_lacrosse,1,mka,5,wide_open,transition,left,high,air,t,goal
boys_lacrosse,1,opponent,4,lightly_covered,settled,left,high,air,f,off_target
boys_lacrosse,1,mka,8,wide_open,transition,right,high,air,t,on_target
boys_lacrosse,1,mka,10,lightly_covered,settled,left,high,air,f,goal
boys_lacrosse,1,opponent,4,lightly_covered,settled,right,high,air,f,off_target
boys_lacrosse,1,opponent,7,heavily_covered,settled,right,low,bouncer,t,goal
boys_lacrosse,1,opponent,15,wide_open,settled,left,low,bouncer,t,on_target
boys_lacrosse,1,opponent,7,lightly_covered,settled,left,high,air,f,off_target
boys_lacrosse,1,mka,10,lightly_covered,settled,left,high,air,t,off_target
boys_lacrosse,1,mka,8,heavily_covered,settled,right,high,air,f,off_target
boys_lacrosse,1,opponent,4,heavily_covered,settled,left,high,bouncer,f,off_target
boys_lacrosse,1,opponent,19,lightly_covered,settled,right,low,bouncer,t,off_target
boys_lacrosse,1,opponent,14,lightly_covered,settled,left,high,air,t,off_target
boys_lacrosse,1,opponent,11,lightly_covered,transition,left,low,bouncer,f,goal
boys_lacrosse,1,mka,11,heavily_covered,transition,right,high,air,f,goal
boys_lacrosse,1,opponent,2,wide_open,settled,right,low,air,t,on_target
boys_lacrosse,1,mka,6,lightly_covered,settled,right,high,air,t,on_target
boys_lacrosse,1,mka,3,lightly_covered,settled,right,high,air,f,on_target
boys_lacrosse,1,opponent,11,lightly_covered,settled,right,low,bouncer,f,goal
boys_lacrosse,1,opponent,3,lightly_covered,settled,right,high,air,t,goal
boys_lacrosse,1,mka,11,wide_open,transition,right,high,air,f,off_target
boys_lacrosse,1,mka,7,lightly_covered,settled,right,low,air,t,off_target
boys_lacrosse,1,mka,15,wide_open,man_up,right,high,air,t,off_target
boys_lacrosse,1,mka,10,lightly_covered,man_up,right,high,bouncer,t,on_target
boys_lacrosse,1,opponent,11,lightly_covered,transition,right,low,bouncer,t,on_target
boys_lacrosse,1,opponent,2,lightly_covered,man_down,right,low,bouncer,f,goal
boys_lacrosse,1,mka,2,wide_open,transition,right,high,bouncer,t,goal
boys_lacrosse,1,opponent,2,lightly_covered,settled,left,low,bouncer,f,off_target
boys_lacrosse,1,opponent,1,lightly_covered,settled,right,low,air,f,goal
boys_lacrosse,1,mka,9,lightly_covered,settled,right,high,air,f,off_target
boys_lacrosse,1,mka,7,heavily_covered,settled,right,low,air,f,off_target
boys_lacrosse,1,mka,15,lightly_covered,settled,left,high,air,t,goal
boys_lacrosse,1,opponent,17,lightly_covered,transition,right,low,air,t,goal
boys_lacrosse,1,mka,6,lightly_covered,settled,right,low,air,f,goal
boys_lacrosse,1,mka,2,wide_open,transition,right,high,air,t,on_target
boys_lacrosse,1,mka,15,wide_open,settled,right,low,bouncer,t,on_target
boys_lacrosse,1,opponent,7,lightly_covered,settled,right,high,air,t,goal
boys_lacrosse,1,mka,19,wide_open,transition,right,low,air,f,goal
boys_lacrosse,1,mka,3,lightly_covered,settled,right,high,air,f,goal
boys_lacrosse,1,opponent,6,wide_open,settled,right,low,air,t,off_target
boys_lacrosse,1,opponent,15,lightly_covered,settled,right,low,bouncer,t,on_target
boys_lacrosse,1,mka,15,heavily_covered,settled,right,low,air,t,goal
boys_lacrosse,2,mka,12,wide_open,settled,left,high,air,f,off_target
boys_lacrosse,2,mka,12,lightly_covered,settled,left,high,air,f,on_target
boys_lacrosse,2,opponent,4,heavily_covered,settled,left,low,air,f,goal
boys_lacrosse,2,opponent,17,wide_open,transition,right,high,air,f,on_target
boys_lacrosse,2,mka,8,wide_open,settled,right,high,air,t,goal
boys_lacrosse,2,opponent,4,lightly_covered,settled,left,low,bouncer,t,goal
boys_lacrosse,2,mka,11,wide_open,transition,left,high,air,f,goal
boys_lacrosse,2,mka,16,lightly_covered,settled,left,high,air,f,off_target
boys_lacrosse,2,opponent,19,lightly_covered,transition,right,high,air,f,off_target
boys_lacrosse,2,opponent,3,wide_open,transition,right,low,air,f,on_target
boys_lacrosse,2,opponent,4,heavily_covered,settled,left,low,air,f,on_target
boys_lacrosse,2,opponent,9,lightly_covered,settled,left,high,air,t,on_target
boys_lacrosse,2,mka,15,wide_open,settled,right,high,air,f,on_target
boys_lacrosse,2,mka,12,heavily_covered,settled,right,high,air,f,goal
boys_lacrosse,2,opponent,1,lightly_covered,transition,left,low,air,t,goal
